Tello: 17:45:05.448:  Info: start video thread
Tello: 17:45:05.448:  Info: send connection request (cmd="conn_req:9617")
Tello: 17:45:05.449:  Info: video receive buffer size = 425984
Tello: 17:45:05.449:  Info: state transit State::disconnected -> State::connecting
Tello: 17:45:05.459:  Info: connected. (port=9617)
Tello: 17:45:05.459:  Info: send_time (cmd=0x46 seq=0x01e4)
Tello: 17:45:05.459:  Info: state transit State::connecting -> State::connected
Tello: 17:45:05.459:  Info: get video stream
Tello: 17:45:05.459:  Info: start video (cmd=0x25 seq=0x01e4)
Tello: 17:45:05.510:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:45:05.510:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:45:05.511:  Info: recv: ack: cmd=0x34 seq=0x0000 cc 60 00 27 90 34 00 00 00 00 72 a5
Tello: 17:45:05.511:  Info: recv: ack: cmd=0x20 seq=0x0000 cc 60 00 27 b0 20 00 00 00 00 42 b9
Tello: 17:45:08.450:  Info: video data 907066 bytes 442.8KB/sec loss=84
Tello: 17:45:10.451:  Info: video data 752726 bytes 367.4KB/sec
Tello: 17:45:12.452:  Info: video data 754864 bytes 368.4KB/sec
Tello: 17:45:14.456:  Info: video data 747585 bytes 364.4KB/sec
Tello: 17:45:15.653:  Info: set altitude limit 30m
Tello: 17:45:15.655:  Info: takeoff (cmd=0x54 seq=0x01e4)
Tello: 17:45:15.655:  Info: up(val=1)
Tello: 17:45:15.669:  Info: recv: ack: cmd=0x54 seq=0x0000 cc 60 00 27 b0 54 00 00 00 00 a1 81
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 41
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  0 | SPD: -2 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
Tello: 17:45:16.460:  Info: video data 745728 bytes 363.3KB/sec
ALT:  0 | SPD: -5 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  1 | SPD: -8 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  2 | SPD: -9 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  3 | SPD: -10 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  4 | SPD: -11 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  5 | SPD: -11 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  6 | SPD: -10 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  7 | SPD: -9 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -7 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  8 | SPD: -6 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -4 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT:  9 | SPD: -3 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -2 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 10 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
Tello: 17:45:18.487:  Info: video data 762210 bytes 367.3KB/sec loss=1
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD: -1 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 11 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE: 11
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
Tello: 17:45:20.514:  Info: video data 763565 bytes 367.8KB/sec
ALT: 12 | SPD:  0 | BAT: 45 | WIFI: 90 | CAM:  0 | MODE:  6
